stocks,fx,bonds,total
-40169.93596968986,1778293.3558359742,14169.837710760534,1752293.257577045
-43503.733147593215,756751.9126096368,113963.09741232544,827211.276874369
-24098.816644629464,-776115.3945992589,197915.82333481312,-602298.3879090752
178351.7437974494,-1420451.4387304187,-53949.56693132222,-1296049.2618642915
173192.52893698774,-3851595.975294113,64133.870452940464,-3614269.575904185
-102496.6847016532,667002.1685975492,-199961.7596077472,364543.7242881488
-30855.834510494024,-941018.5522578955,107590.05153357983,-864284.3352348097
-48278.5080311764,-521842.5201153159,-176638.65039241314,-746759.6785389055
-140602.11133404635,1266681.7347931564,-143915.314442046,982164.309017064
-80932.59674352035,-1303149.6816680431,-150405.6215853095,-1534487.899996873
-18929.67503012903,-900450.8305144906,-170009.39689079672,-1089389.9024354164
-11573.079642018303,-1937843.7879220843,60538.59880040586,-1888878.2687636968
27019.399024516344,4388259.875197768,-49228.47545366734,4366050.798768617
-91045.89236751944,2274292.317841947,-151571.99826409668,2031674.427210331
71442.3889712356,1303066.576923877,-329290.7628281489,1045218.2030669637
90722.40946764126,8774.230587780476,-32202.13798096776,67294.50207445398
-278247.4981724657,1672946.0396723747,-234988.0742175281,1159710.467282381
142186.31284108944,-536555.41048491,28116.80580019951,-366252.29184362106
-26085.346772557124,-1502446.5615350008,-126724.86348471045,-1655256.7717922684
25829.17249906622,482342.71423119307,-33322.5454024151,474849.3413278442
-14640.829340416938,-399138.50304055214,-30020.010106816888,-443799.34248778597
34494.433878527954,1735091.8238977194,44557.69096378982,1814143.9487400372
129287.12616498768,-2164898.411003113,-267417.0643355325,-2303028.3491736576
11131.826016960666,1190932.887881428,61332.621334545314,1263397.335232934
43400.82165329531,1306817.0251909494,427324.54633361846,1777542.3931778632
-152146.99015902914,506549.1972948611,-54711.11529305577,299691.09184277616
-85465.40799021348,-2340496.9868703485,-198820.15993613005,-2624782.554796692
110591.51857159846,1605437.6941503286,-189512.77050537616,1526516.442216551
-159116.0830291435,-4892048.756067753,-103263.34098982811,-5154428.180086724
718.0269266664982,386558.3386192322,-96942.03024692088,290334.3352989778
-39823.538930766284,-1039269.470097065,35349.93137778342,-1043743.0776500478
27079.29256447591,2048844.7687811255,-136632.17755007744,1939291.883795524
8841.58383016847,991372.4424468577,79780.74855548888,1079994.774832515
-9500.869541175663,-643787.1716269851,-98108.21682858467,-751396.2579967454
-81150.0266107507,-103528.43287664652,-53821.80683649331,-238500.26632389054
-22825.316783526912,-1481777.2701160014,-85233.15596175194,-1589835.7428612802
-78772.4207343813,703159.5563595891,301993.9550696835,926381.0906948913
-18126.733240073547,-651073.1323028505,-22068.84606834501,-691268.711611269
-237144.41447455436,-4775848.102761298,-12887.999375000596,-5025880.516610853
159098.32763374783,1889506.180345744,140251.34091306478,2188855.8488925565
-268559.3667856399,-3123523.8969168663,-2769.596108034253,-3394852.8598105405
-33807.99915252812,-1416855.7871057391,-13732.261844329536,-1464396.0481025968
44917.910967445,446714.6959698796,290877.0182145238,782509.6251518484
-51737.24998441897,-792396.9304280877,-21103.565978862345,-865237.746391369
71169.76288625039,711935.0777888298,22444.979945778847,805549.820620859
374405.41528274305,1885184.7835363448,113552.26703161001,2373142.465850698
31533.62270982191,1965404.2297747731,-312234.44801457226,1684703.4044700228
-162817.86240305938,-1412678.9983506203,-71667.07099210471,-1647163.9317457844
-79555.01837050542,672391.7503468394,209810.56312032044,802647.2950966544
-64575.589433114976,-2633556.2856803834,-157952.43734429032,-2856084.3124577887
10403.227668575943,-387992.03696870804,-90248.89103510231,-467837.7003352344
122678.85319101997,1146555.3767914176,-103109.9016482234,1166124.3283342142
168361.70392225683,1086940.843451798,171988.64125864208,1427291.1886326969
524.523633884266,1445535.7389444113,-126195.85373599827,1319864.4088422973
-89578.43999349885,2005.9594033360481,90369.90680325031,2797.426213087514
6235.832899365574,-144254.13434785604,138687.1344473362,668.8329988457263
41631.46847335994,68776.48015242815,-163873.57573971152,-53465.62711392343
1106.9656836185604,-378755.76159739494,-102944.68952196836,-480593.48543574475
-2721.8912042286247,-932565.226537168,-24661.33362043649,-959948.4513618331
-154421.82067447342,-1935514.9765084982,-448596.40427693725,-2538533.201459909
-91891.96794026159,336582.0124053955,-106480.33327226341,138209.7111928705
-73176.1337986011,845756.3656864166,231520.77045296878,1004101.0023407843
-143122.90046149492,55108.613335222006,73850.8003007397,-14163.486825533211
-60390.33300714195,-703401.1781902313,-6179.680346801877,-769971.1915441751
10161.847744522616,290161.76021653414,-853.3544252514839,299470.25353580527
208768.3034847211,1312073.9253934026,352511.2945504859,1873353.5234286096
3392.75468419306,1121833.3740304112,40299.44033501297,1165525.5690496173
-12063.875610722229,277686.1815675497,32406.918065704405,298029.2240225319
-62295.736548908055,294921.5582535267,61373.65289416909,293999.4745987877
71968.15769255348,872352.0637644529,239988.64623582363,1184308.86769283
-220863.61615913175,-14545.565348744392,-143521.33144610375,-378930.5129539799
50745.28872749023,1078362.1208136678,-151344.7530290261,977762.6565121319
-83780.28454166278,-1850860.2711403966,-30590.609608978033,-1965231.1652910374
-51951.64407709986,943729.8010439575,-40983.48724539578,850794.6697214618
170294.87979036383,-314191.0554202795,124258.23621342331,-19637.939416492358
-44747.19319247268,986204.4203680456,421063.42193828523,1362520.6491138581
125489.72961489111,396395.9341278672,-256500.0252797529,265385.6384630054
30688.9047007747,-2264675.916070044,128149.208761774,-2105837.8026074953
-60375.518128363416,1064649.1100834012,-250381.37491090596,753892.2170441318
-11285.127535905689,1384080.0149438381,42404.52984948456,1415199.417257417
-34018.52108478546,-61331.5607740283,9023.392397552729,-86326.68946126103
-94024.04446238652,956789.9871121645,-90786.09252949059,771979.8501202874
-128238.0198152177,-2773478.183881402,-441325.81763090193,-3343042.0213275217
154863.86937703006,-422686.29867365956,223499.79636110365,-44322.63293552585
106130.91069332138,-3826388.8160327673,-119552.16930224746,-3839810.0746416934
10357.268589932472,2012088.1302980483,-135532.90753615648,1886912.4913518243
354749.46669716947,2284463.907134652,271011.79855979234,2910225.172391614
-54774.56871774234,575959.8717764318,-95188.29448872805,425997.0085699614
-45800.799434119835,799137.9840813875,-145711.76618843526,607625.4184588324
20016.4184849374,-2903880.895255178,205314.90131251514,-2678549.5754577257
47999.47275934182,-477669.287632972,180226.32452362776,-249443.49035000242
20526.521799890324,145956.1388887167,-93033.35231903195,73449.30836957507
2459.184499407187,1969494.1827638745,-24447.98477692902,1947505.3824863527
-101219.25289035961,-459694.64002388716,-165577.60464653373,-726491.4975607805
-81153.73012883402,-118214.0776091218,-82775.59179154038,-282143.3995294962
-19772.965314263478,226898.09758463502,-67229.71965720505,139895.4126131665
18038.6007822901,1802705.639804244,24410.04484383017,1845154.2854303643
89765.62467076257,-642645.2176345587,98160.79605269432,-454718.7969111018
-77838.59710883722,1574039.7279969454,2112.0853325128555,1498313.216220621
-116374.73093794286,-2575333.6747590303,-26846.018724024296,-2718554.4244209975
-42399.26883094944,793215.6370238066,-160149.91587053984,590666.4523223173
103226.36088996567,-695282.3044142425,135855.64097694308,-456200.30254733376
110491.93950570002,2343253.195788026,50352.41122755408,2504097.54652128
140177.20241218805,-589581.2653370202,219383.62900860608,-230020.43391622603
1811.5206238850951,-238991.47127109766,224432.49428020418,-12747.456367008388
80185.69058660604,-806851.8646028042,13667.14902292937,-712999.0249932688
87185.12104859948,-2000515.137709111,113017.01696498692,-1800312.9996955246
-314389.4262187723,-2474814.860713601,44716.44155065715,-2744487.8453817163
82257.61924952641,-1799466.3700411916,130081.51245111227,-1587127.238340553
-71314.36108079553,-2363428.5195343494,-545.1475113704801,-2435288.0281265154
-158257.94130748883,-272621.5100298524,123846.44147491455,-307033.00986242667
151720.7733268086,-1587479.294021666,119705.30019961298,-1316053.2204952445
-96957.09276797436,467431.9893056154,-147648.71483407915,222826.18170356192
