Date,next_date,stocks_VaR99,stocks_pnl,stocks_exception,bonds_VaR99,bonds_pnl,bonds_exception,fx_VaR99,fx_pnl,fx_exception,total_VaR99,total_pnl,total_exception
2025-01-02,2025-01-03,480651.2371037147,-261112.8594060596,False,1637603.2261109443,-197105.31256511807,False,10484049.837128239,-3276405.411896646,False,9875268.473250477,-3734623.583867818,False
2025-01-03,2025-01-06,480675.5058952936,4073.558008939028,False,1603896.4816122253,24351.57610695064,False,10943406.523924265,-3541125.971737176,False,10759264.854587574,-3512700.8376212716,False
2025-01-06,2025-01-07,447331.9231616578,0.0,False,1536213.8450811773,0.0,False,11276372.581977906,-1702663.993087232,False,10675258.343907576,-1702663.993087232,False
2025-01-07,2025-01-08,418477.15768287046,38472.16239305399,False,1545966.0708888615,-81072.29089036584,False,9580066.765430806,-848614.3399273753,False,9608580.574796887,-891214.4684246778,False
2025-01-08,2025-01-09,378062.8936166877,-303505.1700659767,False,1354472.7119537317,-281657.0017487332,False,10786172.936934216,-5406302.004726261,False,10662518.844518721,-5991464.176540971,False
2025-01-09,2025-01-10,453229.0148391224,293596.1952307224,False,1367600.2945198661,-87582.93165615201,False,10516091.171708178,-4464384.501121491,False,10376504.85883776,-4258371.237546921,False
2025-01-10,2025-01-13,439918.7570607761,62539.55280419253,False,1338704.2377610165,58045.48832151294,False,10204042.249268675,-938815.7674132586,False,9975984.314180994,-818230.7262875438,False
2025-01-13,2025-01-14,429209.9905549556,63567.02789261006,False,1186425.524795548,-74195.90195694566,False,10080723.951748846,1606185.5219415724,False,10191900.163428714,1595556.6478772461,False
2025-01-14,2025-01-15,455201.4796209358,77154.9687153995,False,1413515.4461545334,-81603.35609406233,False,10425097.148778854,-1062707.6401090324,False,10395974.406886015,-1067156.0274876952,False
2025-01-15,2025-01-16,432186.6712656217,-21877.721654178575,False,1271700.3189141746,-94694.18301729858,False,9486804.36966488,869118.8735299706,False,9906918.443069674,752546.9688584805,False
2025-01-16,2025-01-17,407806.2201596933,200451.21948277764,False,1216493.9306956707,-148237.31705931574,False,8797497.263018208,2257090.925657451,False,8585202.921366777,2309304.8280809224,False
2025-01-17,2025-01-20,388818.28066955623,-157284.7118152529,False,1141092.093399075,147334.56804671139,False,8453980.958178237,-3776898.533976972,False,8204888.75904942,-3786848.6777454913,False
2025-01-20,2025-01-21,409391.26610510173,67925.42217615806,False,1242622.9587457315,-134055.69068032503,False,9384472.5996893,-157380.34094971418,False,9476476.01642931,-223510.60945388675,False
2025-01-21,2025-01-22,408577.651051193,-62248.17538817972,False,1193109.4619289548,-46597.19379520416,False,9377775.900514562,-3113714.6670377553,False,9483238.166176196,-3222560.0362211466,False
2025-01-22,2025-01-23,382937.09763506317,21513.226550038904,False,1175143.199655964,-100862.19955701381,False,8197903.126345725,-473275.4476044774,False,8534931.339978473,-552624.4206114411,False
2025-01-23,2025-01-24,383979.5803929245,6317.913666304201,False,1261140.8680754749,10926.052419021726,False,9595617.156070812,1324216.0274361372,False,9125339.650333678,1341459.993521452,False
2025-01-24,2025-01-27,414549.96205458156,-267840.29914599285,False,1145227.4278657776,-385997.1980388537,False,8521318.437874684,-4843127.114931107,False,8751180.17648734,-5496964.612115949,False
2025-01-27,2025-01-28,363025.1408660508,196461.89835115336,False,1096109.0938311839,-59672.80692461133,False,8424708.242796587,116137.76653635502,False,8253683.927444173,252926.85796290636,False
2025-01-28,2025-01-29,331112.8014887958,50676.532380843535,False,1121238.735372392,48936.549744576216,False,7884535.630613072,1130665.0172234774,False,7860658.87364745,1230278.0993489027,False
2025-01-29,2025-01-30,345911.6941545527,165130.07480046153,False,1128712.4751279645,-135581.64709697664,False,7350734.994099394,2508864.303703487,False,7518163.428350976,2538412.7314069867,False
2025-01-30,2025-01-31,373794.02975764044,-131894.3396542333,False,1007359.6972827888,-163094.9803295806,False,7935265.990301568,-1779385.7073213458,False,7894978.771632452,-2074375.027305156,False
2025-01-31,2025-02-03,390244.0204902338,-112166.15211146884,False,1163443.7375638608,-257153.04545149952,False,7840916.870799563,-908433.0520020127,False,7832800.397572679,-1277752.2495649755,False
2025-02-03,2025-02-04,373945.4115689026,-80164.67003043741,False,1060325.9094162234,-271924.9272934571,False,7987738.322977401,2787686.3996028304,False,7912702.642084818,2435596.802278936,False
2025-02-04,2025-02-05,355345.55255681433,181711.0503683798,False,994713.3386404746,578879.2950665504,False,7374247.162489261,2349370.912149787,False,7052001.945660518,3109961.257584691,False
