component,observations,exceptions,exception_rate,LR_uc,p_value,n00,n01,n10,n11,LR_ind,p_ind,LR_cc,p_cc
stocks,260,1,0.0038461538461538464,1.2989021763760746,0.25441385110988574,257,1,1,0,0.007751957392340358,0.9298407505303272,1.306654133768415,0.5203117817034005
bonds,260,1,0.0038461538461538464,1.2989021763760746,0.25441385110988574,257,1,1,0,0.007751957392340358,0.9298407505303272,1.306654133768415,0.5203117817034005
fx,260,0,0.0,5.226174643820754,0.022249414063721988,259,0,0,0,-0.0,1.0,5.226174643820754,0.0733078690438882
total,260,0,0.0,5.226174643820754,0.022249414063721988,259,0,0,0,-0.0,1.0,5.226174643820754,0.0733078690438882
