horizon_days,component,risk_date,anchor_date,VaR_99_RUB,ES_97_5_RUB,mean_pnl_RUB,std_pnl_RUB,scenarios,model
1,stocks,2025-12-02,2025-12-01,328816.1227399803,357798.30044153344,-2491.8001037617973,132509.59760145767,10000,EWMA cond. vol + multivariate Student-t (dof=5)
1,bonds,2025-12-02,2025-12-01,453704.340964119,483176.2423059813,-8853.483944946767,178179.92063283088,10000,EWMA cond. vol + multivariate Student-t (dof=5)
1,fx,2025-12-02,2025-12-01,4595975.880622077,4816527.127557018,-4384.809752310425,1792132.1293097828,10000,EWMA cond. vol + multivariate Student-t (dof=5)
1,total,2025-12-02,2025-12-01,4657473.853797055,4895407.424766606,-15730.093801018995,1798865.9284050236,10000,EWMA cond. vol + multivariate Student-t (dof=5)
10,stocks,2025-12-02,2025-12-01,993007.284890323,1014610.018683944,-28682.53570835283,426213.9436696467,10000,EWMA cond. vol + multivariate Student-t (dof=5)
10,bonds,2025-12-02,2025-12-01,1412014.1834533128,1447605.07606051,-112495.21659463465,562023.895160987,10000,EWMA cond. vol + multivariate Student-t (dof=5)
10,fx,2025-12-02,2025-12-01,12815638.933320217,13167989.645154398,184702.40712427057,5672635.572296737,10000,EWMA cond. vol + multivariate Student-t (dof=5)
10,total,2025-12-02,2025-12-01,12925352.685272833,13288135.110696813,43524.654821283075,5694017.765611894,10000,EWMA cond. vol + multivariate Student-t (dof=5)
