factor,mean_mon,mean_tue,mean_wed,mean_thu,mean_fri,kruskal_stat,kruskal_p_value,seasonality_5pct
SBER,0.001657145189756495,0.0007333560822377871,-0.00048265940629779866,-0.001827132528758944,0.0002357113069683234,8.191206524840233,0.08481989100734127,False
GAZP,-0.0006348683684733481,0.001311877108582357,0.0008063031369508153,-0.002228877326491386,-0.0014764749645572353,3.614417343184558,0.4606954712417689,False
LKOH,0.00044452320826515864,-6.822985278952919e-07,0.00010650618978839378,-8.648974247325197e-05,-2.8355666335595667e-05,2.0958478102549685,0.7181352520537818,False
ROSN,4.7768788329550606e-05,-0.00035572620349863537,-0.000110327584469137,-0.0012558318367988572,0.0012631622848533577,2.3332714998832174,0.6747182173355968,False
TATN,-0.00042126799540200173,0.00019475392127029742,-0.00010982198938523497,-0.001968936380967804,0.0025056550803322425,6.360144852576457,0.17381846081930594,False
GMKN,-0.016915161620698966,-0.00021423563895551392,-0.0013340343106568227,-0.0016856552096079418,0.000594718352335507,4.694664362448943,0.32008505665288606,False
CHMF,0.0004949696086657767,-0.0015769078474888573,-0.0007390956143135511,-0.001034095082207608,0.0013442651316286362,3.9945730445613683,0.40674080649516053,False
NLMK,-0.0013659185923297268,-0.0005312435093440058,-0.0012330998729486449,-0.0007447669115768346,0.0009726825291267962,2.2097038638733273,0.6972530986384872,False
NVTK,0.0013998175915983266,0.0005627083759013895,-8.105563505504954e-05,-0.0022014085821194674,6.884766056107089e-05,4.089288438477615,0.39405682039724665,False
MTSS,-0.0012302697102198911,0.0006696498544360829,7.402228161149917e-05,-0.001182113319690287,-0.0002476011360066673,4.063433809999538,0.3974890825125327,False
Курс_USD,0.00017985440163674062,0.001057559288611316,-0.0003145624831474053,0.0006420822378133018,-0.0012895202813091396,7.48560927811907,0.11234553957101406,False
Курс_EUR,-0.0027811952370220094,0.0038889688722194534,-0.0005006283328189848,0.0009244139687215858,-0.0014117009144307452,60.490454004079155,2.2879603469098597e-12,True
IMOEX_CLOSE,0.0004560385252771643,0.0004288866871081054,-0.000134102830592646,-0.0017529308278974578,0.0001758308942187434,7.684424935248502,0.10384657287425679,False
RTSI_CLOSE,0.0008063228317774011,0.0003394449111298924,5.985638796674336e-06,-0.00169411125252858,-0.00041361784609462803,9.49763604675695,0.04979584406960859,True
Нефть_Brent,-0.0004524972101251112,-0.0013471974536270876,-0.0003898480616717612,0.0009304393596395147,0.001938421453060839,2.9814708117354063,0.560930989006774,False
