component,explained_variance,explained_ratio,cumulative_ratio
PC1,0.43011259977307587,0.6109730099822499,0.6109730099822499
PC2,0.1397968866926316,0.19858084765200426,0.8095538576342541
PC3,0.07323643179962863,0.10403202138367079,0.913585879017925
