component,observations,exceptions,exception_rate,LR_uc,p_value,n00,n01,n10,n11,LR_ind,p_ind,LR_cc,p_cc
stocks,260,3,0.011538461538461539,0.059226984705532004,0.8077219203796084,253,3,3,0,0.07031410940781058,0.7908799852390176,0.12954109411334258,0.9372825009345297
bonds,260,1,0.0038461538461538464,1.2989021763760746,0.2544138511098857,257,1,1,0,0.007751957392340358,0.9298407505303272,1.306654133768415,0.5203117817034005
fx,260,4,0.015384615384615385,0.6538917793181867,0.4187246938018924,251,4,4,0,0.12549534291341047,0.7231491234278554,0.7793871222315971,0.677264382844016
total,260,3,0.011538461538461539,0.059226984705532004,0.8077219203796084,253,3,3,0,0.07031410940781058,0.7908799852390176,0.12954109411334258,0.9372825009345297
