horizon_days,component,VaR_baseline_normal,VaR_ewma_student_t,ratio_new_over_baseline
1,stocks,480960.9201834371,328816.1227399803,0.6836649485254868
1,bonds,661007.3709154148,453704.340964119,0.6863831795639339
1,fx,8330229.713819925,4595975.880622077,0.5517225861127589
1,total,8266647.918349773,4657473.853797055,0.5634053729878461
10,stocks,1446622.7675196808,993007.284890323,0.6864313953753762
10,bonds,2073052.5038803127,1412014.1834533128,0.681128037428055
10,fx,24978984.113964275,12815638.933320217,0.5130568511053157
10,total,24650100.753058884,12925352.685272833,0.5243529352986072
