factor,omega,alpha,beta,persistence_alpha_plus_beta,nu_innovations,loglik,aic,converged
Курс_USD,2.6582468791736847e-06,0.12015109477691857,0.8798489052230755,0.999999999999994,3.626950937241003,3921.086866554665,-7834.17373310933,True
Курс_EUR,2.0796104649097348e-06,0.09330310059361335,0.9066968994063566,0.9999999999999699,3.83111474978368,3908.9612809081787,-7809.922561816357,True
SBER,1.391488380826017e-05,0.16189905671536803,0.8381009432842133,0.9999999999995812,3.1061567659952836,3586.9068584475444,-7165.813716895089,True
PC1,0.002808289676081171,0.1781765615620792,0.8218234384379111,0.9999999999999902,3.4557911943581914,-354.1886303074592,716.3772606149184,True
PC2,0.02518071432504277,0.9932231961381585,0.006776803861723682,0.9999999999998821,2.397689844189462,689.5966809272825,-1371.193361854565,True
PC3,0.000566386402694011,0.11197447264057739,0.8880255273594202,0.9999999999999976,4.023969078368274,248.93958201615078,-489.87916403230156,True
